asset,family,value_kind,index,value
O1200,v_b,head_singular,108,0.026397768366909345
O1200,v_b,head_singular,109,0.026017335795268565
O1200,v_b,head_singular,110,0.025441060867911987
O1200,v_b,head_singular,111,0.025154320080732925
O1200,v_b,head_singular,112,0.024863828658461644
O1200,v_b,head_singular,113,0.02449276553801646
O1200,v_b,head_singular,114,0.024342911839946697
O1200,v_b,head_singular,115,0.024008887999812715
O1200,v_b,head_singular,116,0.02353553365635867
O1200,v_b,head_singular,117,0.02332620464433738
O1200,v_b,head_singular,118,0.02275789827987455
O1200,v_b,head_singular,119,0.022292833163153867
O1200,v_b,head_singular,120,0.022184877536738985
O1200,v_b,head_singular,121,0.021868658677104972
O1200,v_b,head_singular,122,0.021726998880582073
O1200,v_b,head_singular,123,0.021419705567990832
O1200,v_b,head_singular,124,0.021105781217541336
O1200,v_b,head_singular,125,0.02093264362113079
O1200,v_b,head_singular,126,0.020472649938253654
O1200,v_b,head_singular,127,0.020232378779667097
O1200,v_b,head_singular,128,0.020096117790429805
O1200,v_b,head_singular,129,0.01991355732366021
O1200,v_b,head_singular,130,0.019784470357910772
O1200,v_b,head_singular,131,0.019026649581314285
O1200,v_b,head_singular,132,0.018728665705668567
O1200,v_b,head_singular,133,0.01848017882648671
O1200,v_b,head_singular,134,0.01811002371485919
O1200,v_b,head_singular,135,0.01805981425690997
O1200,v_b,head_singular,136,0.017768266285926967
O1200,v_b,head_singular,137,0.017190336799864595
O1200,v_b,head_singular,138,0.017169791096528227
O1200,v_b,head_singular,139,0.017049815579705953
O1200,v_b,head_singular,140,0.016699892080170562
O1200,v_b,head_singular,141,0.01658078685928359
O1200,v_b,head_singular,142,0.01625964873801237
O1200,v_b,head_singular,143,0.016032582340338927
O1200,v_b,head_singular,144,0.01562927280097806
O1200,v_b,head_singular,145,0.01556130161886931
O1200,v_b,head_singular,146,0.015390037701826814
O1200,v_b,head_singular,147,0.015199457504380861
O1200,v_b,head_singular,148,0.01496644251675694
O1200,v_b,head_singular,149,0.01466702591594219
O1200,v_b,head_singular,150,0.014248541255876037
O1200,v_b,head_singular,151,0.014130463707939212
O1200,v_b,head_singular,152,0.013880408065873597
O1200,v_b,head_singular,153,0.013601151004030441
O1200,v_b,head_singular,154,0.013343552752103074
O1200,v_b,head_singular,155,0.013209202470890764
O1200,v_b,head_singular,156,0.012938166358582394
O1200,v_b,head_singular,157,0.012798924812407407
O1200,v_b,head_singular,158,0.012339048232528339
O1200,v_b,head_singular,159,0.012205773088936996
O1200,v_b,head_singular,160,0.01216771800748019
O1200,v_b,head_singular,161,0.01197538418334083
O1200,v_b,head_singular,162,0.011858266782015426
O1200,v_b,head_singular,163,0.011768956581503093
O1200,v_b,head_singular,164,0.01156077172118122
O1200,v_b,head_singular,165,0.011078632495235177
O1200,v_b,head_singular,166,0.010791423053229266
O1200,v_b,head_singular,167,0.01067316613980858
O1200,v_b,head_singular,168,0.01048989739116016
O1200,v_b,head_singular,169,0.01012511674556255
O1200,v_b,head_singular,170,0.009972800687991383
O1200,v_b,head_singular,171,0.009877110849217077
O1200,v_b,head_singular,172,0.009640005080766572
O1200,v_b,head_singular,173,0.009496767999762835
O1200,v_b,head_singular,174,0.009478789509948215
O1200,v_b,head_singular,175,0.008982406609586192
O1200,v_b,head_singular,176,0.008860212849763434
O1200,v_b,head_singular,177,0.008654583851781186
O1200,v_b,head_singular,178,0.008486953622446586
O1200,v_b,head_singular,179,0.008288410969655338
O1200,v_b,head_singular,180,0.008218616244219136
O1200,v_b,head_singular,181,0.00814478147619794
O1200,v_b,head_singular,182,0.007967163786953568
O1200,v_b,head_singular,183,0.007751754006362561
O1200,v_b,head_singular,184,0.007605995548522496
O1200,v_b,head_singular,185,0.0073791689838071705
O1200,v_b,head_singular,186,0.0069798750257745595
O1200,v_b,head_singular,187,0.0069169669018975975
O1200,v_b,head_singular,188,0.0068125111362135025
O1200,v_b,head_singular,189,0.006674515735839361
O1200,v_b,head_singular,190,0.00656749626527318
O1200,v_b,head_singular,191,0.006361234474797559
O1200,v_b,head_singular,192,0.006033750491773748
O1200,v_b,head_singular,193,0.0060247468882148
O1200,v_b,head_singular,194,0.005802399300445444
